Name	Half-life (h)
Fancl	4.600542091
Far1	4.731100857
Fars2	2.560288432
Farsa	4.988216825
Fastkd2	3.374964842
Fastkd3	2.363641871
Fat1	3.779110668
Fau	12.90696274
Fbl	9.304542589
Fbrs	2.678341703
Fbxo15	3.297889482
Fbxo21	4.364174168
Fbxo21	2.318056367
Fbxo22	3.599247093
Fbxo25	2.695044671
Fbxo34	3.619085518
Fbxo42	2.900307256
Fbxo46	1.082501793
Fbxo7	3.422938961
Fbxw11	2.424720904
Fbxw5	4.790191419
Fbxw9	5.084506026
Fcf1	5.811182802
Fem1a	1.404600151
Fgd1	4.578492854
Fgf15	1.913414539
Fgf4	1.48053646
Fgfr1	2.612300546
Fgfr1op2	10.05682079
Fibp	6.447364169
Fip1l1	3.226673285
Fip1l1	2.226760326
Fkbp10	4.996904098
Fkbp1a	7.853676367
Fkbp1a	7.445682928
Fkbp9	6.204470722
Fkbpl	3.359662446
Flnb	4.446296654
Fmc1	15.73029933
Fmnl2	3.17274886
Fmr1	4.531583277
Fmr1	3.523436576
Fmr1nb	6.847030829
Fnbp4	3.258741149
Fnbp4	2.202214782
Fntb	4.118231859
Foxd3	0.997681783
Foxj3	1.73666512
Foxk1	1.69971895
Foxk2	1.620630523
Foxm1	3.299907288
Foxn2	3.226844982
Foxo4	6.319242598
Frmd4a	1.346801046
Frmd6	2.421491266
Frrs1	3.987574834
Frrs1	4.190660552
Fscn1	7.861125694
Fth1	13.99014462
Fto	5.422467087
Fubp1	5.223788627
Fubp1	2.673542383
Fubp3	4.278666961
Fuca1	4.039937908
Fundc2	8.026929047
Fus	6.311481021
Fxr1	6.766758772
Fxr1	3.46748608
Fxr2	2.999247904
Fyttd1	4.255343233
Fzd10	2.335855337
Fzd7	1.246535043
G2e3	2.041051282
G3bp1	3.978543297
G3bp1	4.426145687
G3bp1	3.993768548
Gabarap	5.4991004
Gabarapl1	3.684405901
Gabarapl2	8.474050688
Gabarapl2	5.570221664
Gabbr1	2.875469528
Gabpa	4.19890164
Gadd45gip1	7.956984944
Gadd45gip1	3.146197318
Galnt1	3.671388815
Galnt11	1.508572268
Galnt2	3.202824119
Ganab	4.914267961
Gars	5.329288135
Gbf1	3.170394986
Gclc	4.320296897
Gclm	4.743380982
Gcn1l1	5.938764119
Gcnt2	1.868989981
Gdi1	5.32772078
Gdi2	8.045284795
Gdi2	5.515294814
Gemin2	2.694376859
Gemin2	2.831474639
Gemin6	2.918262715
Get4	6.800745458
Get4	3.728256838
Gfm1	3.338293697
Gfm2	3.813745896
Gfpt1	3.913837097
Gfpt2	4.601062325
Gga1	2.783872224
Gid4	4.157743236
Gid4	2.954641444
Gid8	3.553778562
Gins1	3.548515382
Gipc1	4.34074424
Git1	2.702028489
Gja1	3.535027804
Glb1	6.329442849
